CPR,label,CT,UM,NC,CS,PC,CP,T,PB,AV,SRBP,ATPB,RE,TG,CH,CTS
45,1,0.74,0.42,4,0.62,3413.88,12.67,9567.86,1454,0.3,0.6,1.04,0.56,1,53,0
24,1,0.1,0.14,7,0.99,8600.74,69.24,87200.03,1439,0.67,0.82,4.11,0.49,4,87,1
27,0,0.2,0.85,9,0.1,1165.33,36.07,4186.12,4876,0.66,0.89,2.8,0.3,4,23,0
45,0,0.42,0.81,8,0.96,7022.96,22.86,27178.9,1590,0.99,0.73,0.7,0.73,5,68,0
14,1,0.24,0.84,4,0.33,7582.21,71.43,888.1,4733,0.55,0.13,3.9,0.79,5,87,1
20,1,0.61,0.8,9,0.12,5193.31,92.88,65390.55,1682,0.75,0.53,3.92,0.74,3,77,0
8,1,0.49,0.07,10,0.3,2922.27,5.01,61801.04,2179,0.17,0.55,4.85,0.99,5,96,1
15,0,0.19,0.49,7,0.66,7790.56,0.21,76075.08,239,0.71,0.33,1.43,0.07,1,80,1
25,0,0.58,0.01,5,1,2891.85,37.66,37507.29,409,0.34,0.09,2.66,0.42,3,1,2
28,0,0.19,0.61,5,0.87,3170.26,54.69,41954.87,4562,0.63,0.85,0.86,0.87,3,98,0
20,0,0.04,0.34,4,0.79,7725.45,54.6,48174.82,4198,0.03,0.73,3.01,0.79,4,13,1
10,0,0.41,0.71,7,0.9,5553.63,93.08,44842.74,830,0.41,0.33,1.18,0.01,3,64,1
33,1,0.2,0.04,5,0.19,2024.48,64,47341.75,1494,0.31,0.9,3.75,0.87,1,23,1
9,1,0.22,0.56,10,0.05,9073.82,31.12,64697.47,4084,0.84,0.69,3.51,0.43,1,79,0
20,1,0.87,0.82,5,0.59,6823.92,65.07,33132.46,3023,0.6,0.57,3.14,0.62,1,93,0
28,1,0.45,0.58,6,0.26,3192,78.15,70013.15,128,0.52,0.31,4.54,0.83,1,35,1
7,0,0.15,0.12,8,0.06,8997.19,94.83,41636.87,3562,0.28,0.72,4.19,0.64,4,32,0
36,1,0.08,0.2,6,0.6,4987.33,75.43,42899.89,4772,0.65,0.66,4.9,0.99,1,88,2
17,1,0.53,0.15,7,0.31,3500.86,24.55,21758.75,2870,0.08,0.28,0.85,1,2,49,2
11,0,0.39,0.48,6,0.55,8628.69,71.92,8444.2,2435,0.08,0.23,3.6,0.49,3,10,2
13,1,0.08,0.76,5,0.96,1343.23,9.61,54064.12,4601,0.47,0.83,1.96,0.13,3,54,0
5,1,0.93,0.77,4,0.64,5146.77,79.16,11306.45,369,0.09,0.83,1.16,0.56,3,13,0
27,0,0.62,0.53,5,0.35,8013.55,33.54,56894.23,2533,0.97,0.77,2.84,0.6,4,70,1
6,1,0.37,0.03,5,0.08,9725.6,77.84,79126.64,1943,0.03,0.64,1.04,0.78,5,68,0
7,0,0.36,0.7,7,0.26,127.58,70.56,59127.3,921,0.41,0.69,3.16,0.64,3,70,2
3,0,0.93,0.54,5,0.25,230.89,78.07,91474.22,4539,0.29,0.81,2.95,0.06,1,11,0
20,0,0.72,0.52,10,0.98,8266.42,5.57,65661.8,2594,0.18,0.78,0.95,0.18,3,2,2
1,0,0.73,0.43,4,0.92,2003.22,94.27,11633.3,3127,0.13,0.24,3.19,0.5,1,58,1
39,0,0.15,0.72,5,0.27,7509.06,99.7,94657.62,1664,0.48,0.27,3.03,0.94,1,23,0
5,0,0.14,0.92,6,0.11,6409.52,82.21,10064.21,4181,0.27,0.47,2.28,0.89,2,91,1
11,0,0.75,0.48,9,0.66,8874.97,92.83,73984.85,1519,0.37,0.42,3.12,0.67,3,81,0
48,0,0.85,0.33,5,0.04,8957.21,63.55,70946.74,4247,0.43,0.47,0.7,0.94,1,6,2
41,1,0.76,0.08,8,0.14,3545.69,28.11,43353.26,4515,0.4,0.24,3.86,0.95,3,15,2
21,1,0.01,0.85,9,0.47,9706.29,60.63,36259.28,3405,0.7,0.74,3.54,0.67,3,61,1
41,1,0.34,0.42,9,0.73,6593.42,31.52,85560.13,991,0.51,0.85,2.69,0.49,1,38,0
12,0,0.11,0.18,6,0.93,738.2,34.56,9731.53,2068,0.9,0.75,0.96,0.54,5,17,0
37,1,0.42,0.44,8,0.1,9773.46,96.58,61818.92,4553,0.63,0.49,0.18,0.39,5,22,2
38,1,0.92,0.7,6,0.35,1997.87,30.36,27595.68,3467,0.3,0.4,1.39,0.84,3,23,2
4,0,0.77,0.13,8,0.69,6422.11,94.04,94291.36,3894,0.69,1,1.7,0.21,1,29,2
22,1,0.25,0.76,8,0.33,8202.19,92.78,94531.77,409,0.37,0.36,0.12,0.29,1,82,1
38,0,0.4,0.74,6,0.81,3215.74,28.98,9981.58,1814,0.93,0.01,4.92,0.24,5,87,0
0,1,0.95,0.44,7,0.99,4512.41,41.04,33829.74,1230,0.62,0.01,4.26,0.83,3,68,1
9,1,0.32,0.54,6,0.19,3995.48,3.9,97847.83,4390,0.95,0.86,2.41,0.47,1,44,1
2,1,0.52,0.83,4,0.55,106.18,88.87,64399.63,595,0.8,0.21,4.12,0.4,3,35,1
12,1,0.34,0.89,6,0.03,6487.55,17.19,90351.52,3786,0.26,0.62,4.99,0.89,4,25,0
3,0,0.59,0.03,9,0.8,3242.52,35.68,77875.11,388,0.42,0.67,0.73,0.2,4,52,2
14,1,0.48,0.64,4,0.61,190.83,91.87,56180.63,409,0.28,0.46,2.43,0.41,2,20,2
11,1,0.49,0.97,9,0.2,218.04,10.97,84045.23,4771,0.04,0.04,4.73,0.18,4,71,1
33,0,0.53,0.6,4,0.36,7965.47,91.61,88444.21,1054,0.29,0.69,4.93,0.89,5,14,2
43,1,0.52,0.67,7,0.6,3574.38,0.17,85833.88,3925,0.73,0.12,2.58,0.43,1,67,0
49,0,0.38,0.35,4,0.11,6186.18,21.73,96147.45,1123,0.97,0.07,3.71,0.88,5,63,2
33,0,0.96,0.05,9,0.17,6477.51,99.92,29903.6,2281,0.11,0.05,1.99,0.15,2,94,0
26,1,0.94,0.57,6,0.17,3903.06,90.92,98931.21,2967,0.19,0.02,1.92,0.55,4,27,0
24,0,0.47,0.72,10,0.98,2846.15,61.46,59683.89,4362,0.02,0.37,0.81,0.07,2,42,2
6,0,0.23,0.42,5,0.35,1758.18,66.28,10231.96,4070,0.49,0.44,0.38,0.05,3,80,1
23,1,0.83,0.04,8,0.01,2200.69,1.02,51379.3,1090,0.54,0.59,3.55,0.11,5,85,1
17,1,0.6,0.48,6,0.13,6345.09,36.85,63863.73,1026,0.54,0.98,1.61,0.84,2,7,1
1,1,0.52,0.36,10,0.33,9874.19,61.67,12014.7,4620,0.8,0.06,2.57,0.26,2,14,2
22,0,0.12,0.02,9,0.9,5599.71,61.2,3587.66,1052,0.81,0.97,3.88,0.46,4,13,2
24,0,0.62,0.93,10,0.49,4325.3,14.28,80004.18,2465,0.18,0.31,1.48,0.21,5,81,2
15,0,0.81,0.48,4,0.42,4934.6,86.06,11349.21,2991,0.58,0.98,4.66,0.08,1,68,0
22,1,0.19,0.83,4,0.01,2049.7,68.82,31880.14,2275,0.52,0.95,1.02,0.1,3,56,1
16,1,0.22,0.77,8,0.39,2316.25,52.51,29876.95,1153,1,0.73,1.14,0.65,1,51,0
48,1,0.24,0.62,5,0.27,9782.9,82.98,23489.82,4792,0.97,0.4,4.3,0.13,1,94,0
18,0,0.95,0.48,6,0.88,8274.25,59.39,74456.56,4099,0.06,0.05,4.83,0.33,4,95,0
34,0,0.63,0.11,5,0.09,2624.33,82.31,83185.17,888,0.55,0.15,0.64,0.85,5,87,1
30,0,0.76,0.32,7,0.66,8070.01,25.14,17181.81,905,0.85,0.23,3.5,0.85,3,26,0
26,0,0.04,0.74,8,0.69,3159.97,83.54,81619.14,895,0.78,0.1,0.53,0.92,1,15,2
13,1,0.04,0.97,5,0.2,6523.2,87.83,62537.43,3112,0.49,0.82,2.32,0.66,1,26,2
47,1,0.66,0.88,8,0.08,8952.4,4.91,71314.05,299,0.35,0.41,0.02,0.67,3,56,1
0,1,0.25,0.16,8,0.74,4160.39,39.35,13767.22,3131,0.28,0.29,1.88,0.89,2,67,0
15,1,0.96,0.91,9,0.39,2720.01,20.04,40907.66,3082,0.35,0.06,0.96,0.32,4,68,0
47,0,0.44,0.35,6,0.43,4535.19,32.17,65826.78,3716,1,0.84,0.68,0.19,1,92,1
25,1,0.51,0.95,9,0.42,6725.36,74.84,12457.14,4100,0.48,0.37,3.07,0.28,1,11,2
2,1,0.47,0.22,7,0.52,4311.83,68.16,10160.53,4292,0.73,0.62,0.23,0.11,4,35,0
27,0,0.67,0.04,4,0.09,558.82,64.71,80933.1,3357,0.07,0.16,1.88,0.24,4,84,0
25,1,0.09,0.04,5,0.08,2775.17,76,56223.73,3901,0.68,0.3,4.81,0.9,5,45,0
21,0,0.96,0.33,4,0.78,2445.17,99.36,87510.48,2158,0.65,0.77,4.93,1,5,45,0
19,1,0.41,0.67,6,0.29,8799.35,69.28,60287.91,3400,0.87,0.94,1.19,0.87,2,4,0
8,1,0.59,0.08,5,0.05,2906.54,13.81,14624.56,3935,0.75,0.83,3.8,0.91,4,85,1
20,0,0.58,0.11,6,0.66,5754.11,36.94,39334.92,664,0.09,0.85,0.85,0.53,1,83,2
46,1,0.96,0.41,7,0.59,6491.84,16.99,84124.39,3622,0.4,0.31,1.95,0.59,5,58,2
40,0,0.64,0.16,5,0.32,6211.99,15.84,46676.96,668,0.97,0.29,1.28,0.86,1,43,0
47,0,0.4,0.64,6,0.15,7315.09,36.58,47202.45,2246,0.53,0.22,3.08,0.98,1,20,2
35,0,0.94,0.27,7,0,8190.07,61.11,30912.05,2415,0.69,0.97,1.91,0.35,3,3,1
34,0,0.48,0.2,8,0.18,8874.62,5.66,70485.2,4650,0.42,0.4,0.89,0.55,1,65,1
6,1,1,0.57,4,0.88,9651.1,84.42,87401.03,4476,0.17,0.48,1.88,0.12,4,82,0
2,0,0.28,0.06,4,0.57,8410.28,12.53,58409.7,4325,0.25,0.47,3.01,0.78,3,84,0
39,0,0.45,0.78,4,0.45,1303.67,65.4,82007.58,4662,0.24,0.93,1.95,0.64,3,21,2
24,1,0.87,0.5,4,0.27,3344.18,9.51,24518.42,1223,0.15,0.5,3.24,0.06,1,20,1
39,0,0.5,0.47,8,0.79,7795.59,16.88,8484.07,583,0.71,0.8,0.46,0.32,2,79,1
49,1,0.28,0.1,6,0.66,6117.45,56.18,66479.84,1245,0.56,0.57,1.73,0.57,1,83,1
0,0,0.7,0.49,9,0.09,5748.03,13.66,9342.71,247,0.81,0.86,4.69,0.14,4,20,0
13,0,0.63,0.54,6,0.01,6475.31,92.08,72021.81,4465,0.85,0.97,0.88,0.8,1,41,1
10,0,0.31,0.13,7,0.1,3368.74,96.9,46229.66,894,0.61,0.77,0.54,0.79,1,61,1
40,1,0.82,0.08,8,0.76,3800.95,26.72,289.03,3983,0.1,0.05,4.32,0.83,4,41,1
4,0,0.67,0.9,6,0.96,2688.9,19.94,7288.5,4126,0.03,0.3,3.71,0.21,1,96,2
47,1,0.67,0.67,10,0.7,6300.79,38.61,6832.16,1084,0.44,0.26,3.39,0.8,5,5,1
45,1,0.22,0.76,5,0.37,504.13,23.58,96893.33,4522,0.83,0.21,3.06,0.99,2,85,0
1,0,0.07,0.35,5,0.79,3735.96,91.69,69407.56,3368,0.29,0.47,1.23,0.3,1,85,0
12,1,0.76,0.46,9,0.92,2008.76,58.09,15557.02,3015,0.99,0.52,0.67,0.19,2,57,0
40,1,0.38,0.18,5,0.78,8727.93,20.33,61453.39,3544,0.91,0,1.2,0.17,3,88,0
17,0,0.95,0.13,9,0.05,6272.31,2.79,24985.03,4920,0.31,0.48,4.99,0.86,5,56,1
23,1,0.03,0.36,6,0.14,8665.25,82.39,3202.49,1835,1,0.48,4.98,0.64,5,93,1
22,1,0.29,0.12,10,0.26,2837.67,32.82,52383.58,4938,0.55,0.04,4.2,0.96,5,16,0
1,0,0.46,0.93,9,0.21,3275.54,68.71,68315.2,853,0.29,0.33,0.66,0.6,1,21,0
40,0,0.05,0.26,5,0.5,1367.6,49.27,11109.88,2259,0.95,0.82,0.22,0.75,1,24,1
2,0,0.81,0.66,10,0.6,252.9,4.1,24577.59,4530,0.71,0.38,4.52,0.28,3,61,0
43,1,1,0.13,4,0.57,8656.9,63.68,812.85,710,0.23,0.23,4.18,0.66,2,76,0
19,1,0.12,0.06,10,0.22,5860.63,38.67,45629.48,2398,0.29,0.44,0.62,0.72,1,19,1
2,1,0.35,0.54,8,0.32,303,44.18,74701.1,2749,0.52,0.36,3.58,0.45,4,99,0
8,1,0.43,0.02,8,0.31,9369.37,90.16,35707,3567,0.62,0.67,4.04,0.17,2,84,2
23,0,0.43,0.14,6,0.73,6995.85,66.29,57783.35,4780,0.91,0.8,2.25,0.07,1,50,2
37,0,0.5,0.79,7,0.43,5994.74,84.53,83143.36,1338,0.17,0.69,0.03,0.67,1,79,0
10,0,0.3,0.85,7,0.59,6383.79,12.82,44307.57,3226,0.63,0.48,1.05,0.76,3,43,1
1,0,0.91,0.63,4,0.17,309.09,85.7,81479.74,4292,0.83,0.27,3.49,0.92,1,27,0
21,0,0.69,0.36,5,0.37,1909.75,83.18,8213.8,1742,0.34,0.79,0.26,0.25,5,59,2
3,0,0.1,0.34,10,0.45,1962.63,69.82,40110.84,4469,1,0.92,3.03,0.83,3,83,2
10,0,0.2,0.88,9,0.93,8414.03,44.2,54440.78,4929,0.26,0.72,1.05,0.54,2,17,2
20,1,0.12,0.2,10,0.92,2698.5,71.81,19164.45,2701,0.23,0.64,4.55,0.66,1,53,2
12,0,0.52,0.1,8,0.59,2044.22,58.78,18249.02,4313,0.6,0.91,4.88,0.27,3,54,0
37,0,0.55,0.77,5,0.59,5860.06,13.42,77967.79,1698,0.43,0.77,3.67,0.29,5,26,2
29,0,0.09,0.23,8,0.79,165.85,15.41,15620.16,3275,0.74,0.82,1.29,0.18,3,47,1
21,1,0.38,0.55,8,0.94,1329.56,28.67,15685.89,1903,0.28,0.97,3.86,0.03,5,33,0
46,1,0.71,0.21,4,0.35,161.98,54.08,77626.96,3630,0.86,0.47,1.74,0.19,1,80,2
25,0,0.1,0.87,5,0.66,4888.61,18.75,26354.14,4186,0.71,0.87,3.37,0.15,4,98,1
8,0,0.61,0.94,5,0.11,2442.75,44.69,48708.48,347,0.26,0.22,1.38,0.72,2,11,2
20,1,0.59,0.92,7,0.65,1471.76,52.98,90374.09,3234,0.06,0.23,0.1,0.41,4,63,0
25,0,0.23,0.01,7,0.81,3171.06,41.4,30092.2,3006,0.01,0.32,0.15,0.09,5,49,2
21,0,0.48,0.75,10,0.47,5689.07,96.05,56330.66,3413,0.97,0.35,3.33,0.14,2,73,1
36,1,0.27,0.14,8,0.14,9460.95,75.05,85671.74,4682,0.26,0.53,0.38,0.67,5,38,2
7,1,0.51,0.5,5,0.44,149.98,61.68,89190.3,296,0.61,0.58,0.32,0.23,1,56,1
35,0,0.69,0.27,5,0.49,849.16,70.23,85467.62,2056,0.25,0.11,4.3,0.8,3,85,1
9,1,0.19,0.3,4,0.31,5461.07,15.55,40083.78,3854,0.71,0.98,2.07,0.04,1,74,1
21,0,0.49,0.36,10,0.49,6697.07,78.89,53674.74,3618,0.65,0.14,0.61,0.64,2,8,2
36,0,0.9,0.22,5,0.35,4976.66,25.5,43715.74,1361,0.24,1,1.29,0.53,5,42,0
47,0,0.59,0.97,5,0.08,3336.16,14.18,26190.98,297,0.46,0.99,4.56,0.8,3,78,1
43,1,0.07,0.42,9,0.97,318.66,1.25,86383.72,2847,0.76,0.4,3.59,0.65,1,29,0
48,0,0.95,0.25,8,0.36,9357.1,22.56,5685.33,4464,0.62,0.94,0.96,0.85,2,13,0
15,0,0.18,0.34,7,0.05,7564.77,96.54,33010.35,4849,0.75,0.15,0.87,0.85,4,71,2
34,1,0.81,0.6,9,0.14,905.7,47.56,76833.09,515,0.1,0.61,0.84,0.53,2,60,2
13,1,0.41,0.16,8,1,9072.62,8.08,92257.69,1654,0.86,0.44,4.46,0.15,4,77,1
25,1,0.42,0.85,7,0.1,2839.58,64.98,68459.68,1149,0.54,0.2,4.73,0.25,4,59,0
13,0,0.07,0.41,10,0.03,507.77,53.25,61599.52,2581,0.15,0.91,4.15,0.81,2,85,2
26,0,0.9,0.45,7,0.39,9628.49,26.13,46525.18,362,0.88,0.29,0.22,0.13,4,77,2
11,0,0.87,0.81,4,0.27,3157.7,34.88,49388.13,3912,0.15,0.87,1.54,0.96,3,44,2
45,1,0.5,0.3,7,0.14,5984.79,49.66,31793.95,4246,0.65,0.16,2.07,0.41,1,82,0
8,0,0.33,0.67,6,0.37,9692.11,65.44,68078.69,1150,0.3,0.68,0.81,0.11,3,21,2
46,0,0.1,0.79,4,0.78,3855.36,6.83,26970.76,2389,0.28,0.01,1.16,0.89,2,24,0
46,0,0.92,0.91,7,0.39,9159.6,30.91,32058.62,2356,0.34,0.59,2.91,0.56,1,89,2
42,0,0.14,0.69,10,0.4,179.28,10.85,88573.18,3437,0.63,0.71,2.49,0.07,5,33,1
10,1,0.66,0.97,9,0.62,4547.03,59.12,70329.35,3334,0.33,0.65,4.42,0.14,3,51,1
32,0,0.39,0.89,4,0.63,4428.39,32.39,42108.93,1768,0.3,0.61,3.59,0.79,5,72,1
9,0,0.52,0.73,5,0.41,7208.05,3.08,44961.14,266,0.27,0.61,4.74,0.96,1,26,1
14,0,0.69,0.45,8,0.78,1459.34,85.32,86739.68,853,0.94,0.89,0.28,0.82,3,49,0
17,0,0.02,0.43,5,0.97,2620.59,10.36,39947.41,90,0.26,0.6,4.59,0.6,2,27,2
28,1,0.44,0.19,8,0.65,412.24,87.35,24735.88,1231,0.84,0.83,2.59,0.32,3,50,2
47,0,0.87,0.91,7,0.1,8261.94,28.51,37336.04,249,0.2,0.34,2.47,0.95,3,71,1
4,1,0.33,0.53,8,0.95,4765.53,16.17,16461.82,871,0.06,0.57,0.78,0.1,4,6,2
35,1,0.91,0.02,6,0.47,3666,38.7,23378.33,4898,0.78,0.3,4.07,0.74,2,10,2
32,0,0.93,0.21,4,0.1,4943.9,41.9,16798.58,1518,0.31,0.01,0.76,0.42,3,80,2
19,1,0.52,0.35,10,0.43,9263.78,22.46,80301.5,69,0.19,0.57,4.13,0.67,3,2,2
3,0,0.6,0.36,9,0.25,3365.28,95.1,1449.55,1777,0.15,0.73,3.43,0.43,2,0,2
26,1,0.5,0.84,8,0.84,5505.16,31.32,82387.49,2687,0.66,0.58,4.67,0.62,1,52,2
2,0,0.16,0.91,10,0.04,4417.65,90.95,86416,4312,0.32,0.84,0.14,0.63,2,74,2
41,0,0.08,0.14,5,0.88,6412.7,49.59,12680.34,1397,0.87,0.88,1.03,0.21,4,73,2
23,1,0.09,0.53,8,0.58,122.22,6.35,23337.7,2457,0.72,0.91,4.84,0.54,1,27,0
12,0,0.13,0.01,7,0.49,8400.14,0.84,80812.94,2657,0.65,0.35,0.42,0.77,4,83,0
45,0,0.96,0.72,9,0.4,5553.45,27.64,4995.57,1884,0.94,0.29,0.09,0.3,2,49,2
43,0,0.61,0.18,4,0.07,9013.94,51.61,86602.07,3185,0.18,0.23,0.11,0.3,4,96,2
43,0,0.66,0.29,5,0.26,3122.37,11.49,69722.21,130,0.1,0.7,0.35,0.93,1,80,0
5,1,0.16,0.33,9,0.55,2370.31,93.17,94305.8,599,0.74,0.79,1.77,0.11,1,2,2
26,0,0.56,0.95,9,0.94,3200.48,58.04,20400.12,3067,0.41,0.27,0.32,0.01,2,11,0
16,0,0.12,0.09,10,0.8,208.71,8.92,25277.11,3841,0.47,0.2,4.97,0.32,3,42,1
19,1,0.9,0.36,8,0.22,5082.94,75.3,20920.86,3784,0.22,0.19,4.83,0.01,4,90,2
28,0,0.6,0.16,6,0.46,5089.72,92.54,3218.22,3116,0.64,0.5,3.48,0.54,4,86,0
19,0,0.34,0.78,6,0.48,5466.17,73.39,3761.51,20,0.28,0.27,1.46,0.88,1,22,1
27,1,0.28,0.18,5,0.43,3994.5,98.45,89053.39,4246,0.01,0.96,4.47,0.94,2,58,2
10,0,0.91,0.11,4,0.03,7285.77,70.18,17303.17,2850,0.75,0.2,3.77,0.72,4,6,2
32,0,0.16,0.66,8,0.74,3520.87,80.99,78130.25,4538,0.77,0.07,1.69,0.64,1,13,0
4,1,0.71,0.27,4,0.67,816.45,98.95,15859.86,4510,1,0.9,1.47,0.77,1,4,2
17,0,0.1,0.77,4,0.18,7499.33,18.33,83784.91,2237,0.39,0.61,2.44,0.55,4,40,0
0,1,0.98,0.27,7,0.7,3603.9,6.13,37361.99,3481,0.94,0.65,4.22,0.88,2,97,2
3,1,0.75,0.45,10,0.76,9359.26,11.5,19917.52,2240,0.92,0.5,4.77,0.21,4,49,2
22,1,0.49,0.71,6,0.36,8356.85,96.49,34577.57,3744,0.22,0.49,1.62,0.09,4,17,0
38,0,0.11,0.88,5,0.24,2317.8,85.62,14559.57,4127,0.97,0.41,0.48,0.18,3,22,0
21,0,0.25,0.23,4,0.72,280.96,22.52,649.14,4222,0.53,0.99,4.07,0.51,5,30,0
7,0,0.95,0.73,7,0.45,9772.41,70.28,76626.9,3893,0.22,0.93,0.96,0.09,1,99,2
27,0,0.28,0.01,4,0.49,3662.76,2.32,29175.52,4337,0.94,0.62,4.18,0.43,5,4,2
6,1,0.31,0.15,7,0.65,8117.37,44.56,6349.59,914,0.64,0.84,2.52,0.25,4,29,1
11,0,0.55,0.45,4,0.99,407.93,23.28,35706.49,334,0.33,0.96,4.31,0.56,5,54,1
41,1,0.01,0.14,8,0.68,9550.04,41.74,42237.66,2775,0.87,0.85,1.61,0.18,5,43,2
48,1,0.9,0.7,9,0.66,9446.92,54.15,68257.67,670,0.51,0.02,2.63,0.95,3,14,0
36,1,0.47,0.72,6,0.69,1784.13,17.9,64793.22,2506,0.87,0.19,0.93,0.43,1,98,1
30,1,0.14,0.82,6,0.11,3404.53,9.18,61958.46,1315,0.04,0.69,2.83,0.15,4,0,2
40,1,0.34,0.43,10,0.88,1210.26,98.2,16908.88,1931,0.08,0.15,4.83,0.12,1,84,1
36,0,0.44,0.11,9,0.3,1781.49,33.98,38054.61,3277,0.57,0.86,2.4,0.65,5,55,1
2,1,0.71,0.52,4,0.05,920.95,6.21,18043.33,3672,0.84,0.22,1.69,0.3,4,42,1
27,0,0.84,0.73,5,0.63,5174.68,18.04,95923.59,4165,0.77,0.17,2.01,0.25,5,65,0
20,1,0.66,0.68,8,0.14,9715.36,34.33,73416.78,284,0.88,0.8,3.08,0.62,4,54,0
9,0,0.39,0.39,7,0.57,1091.06,14.11,87399.93,4159,0.01,0.58,4.18,0.49,2,43,1
49,0,0.47,0.35,8,0.14,8722.64,64.95,16077.12,3578,0.48,0.15,1.61,0.49,3,91,0
46,0,0.32,0.29,8,0.92,7478.18,63.3,2470.8,4053,0.94,0.3,4.85,0.77,1,68,2
45,0,0.96,0.74,7,0.53,1776.75,37.33,86871.96,3422,0.94,0.06,2.6,0.69,1,86,1
34,1,0.46,0.84,9,0.45,1662.51,71.64,72687.04,1365,0.95,0.29,0.42,0.17,3,29,0
5,1,0.95,0.05,7,0.61,6367.4,32.39,9368.82,2886,0.78,0.01,1.41,0.25,5,40,1
31,1,0.06,0.15,6,0.53,4639.35,34.17,72084.29,3242,0.79,0.16,2.38,0.1,5,65,0
38,0,0.46,0.28,8,0.44,9851.6,10.06,71667.43,345,0.03,0.36,0.15,0.79,1,73,1
4,0,0.69,0.54,5,0.94,7206.11,66.35,5826.56,1252,0.25,0.78,4.79,0.16,3,65,2
33,0,0.1,0.95,5,0.23,5213.42,33.51,32921.75,2210,0.63,0.44,2.37,0.87,3,40,0
2,1,0.9,0.95,4,0.41,9215.55,17.7,12490.51,1411,0.07,0.13,2.55,0.25,2,16,0
46,0,0.71,0.87,7,0.44,7158.84,38.24,53221.52,2395,0.88,0.01,3.38,0.07,1,91,0
26,1,0.47,0.21,9,0.25,1446.56,90.54,17185.23,1857,0.52,0.14,2.06,0.03,3,27,1
36,0,0.68,0.38,4,0.88,3620.78,97.59,93344.43,1550,0.04,0.87,1.89,0.92,4,34,1
25,1,0.97,0.62,5,0.22,9092.18,4.64,17999.71,3664,0.96,0.42,4.26,0.93,5,1,0
28,1,0.45,0.96,7,0.21,2732.55,56.71,7969.91,1705,0.25,0.81,1.86,0.6,5,96,2
17,1,0.12,0.36,7,0.74,4958.02,10.87,59105.7,3219,0.15,0.62,2.65,0.16,2,4,1
24,0,0.93,0.96,6,0.34,3718.6,94.38,88981.98,1630,0.24,0.2,2.11,0.87,1,29,1
