CPR,label,CT,UM,NC,CS,PC,CP,T,PB,AV,SRBP,ATPB,RE,TG,CH,CTS
6,0,0.89,0.66,7,0.92,1522.11,28.03,59409.29,561,0.7,0.79,1.74,0.9,1,30,2
3,1,0.81,0.07,8,0.12,7791.14,45.0,36819.65,71,0.43,0.6,2.71,0.91,5,17,1
6,1,0.74,0.45,5,0.02,5480.34,79.58,3997.81,4157,0.2,1.0,0.94,0.4,1,13,1
9,0,0.2,0.72,4,0.55,9684.49,4.37,80074.97,462,0.79,0.45,1.22,0.94,3,7,1
1,1,0.08,0.69,8,0.21,8377.54,26.88,74164.9,3056,0.02,0.14,1.8,0.29,3,76,0
7,0,0.85,0.9,5,0.11,8668.15,94.32,34338.11,953,0.06,0.88,0.01,0.41,2,22,1
8,1,0.28,0.11,7,0.82,6589.48,65.7,82050.54,1972,0.66,0.9,3.31,0.9,2,36,0
4,1,0.65,0.56,9,0.84,1736.5,98.04,54830.16,577,0.99,0.24,2.14,0.88,3,41,1
3,0,0.35,0.81,6,0.64,5990.08,71.82,49302.15,595,0.65,0.64,2.31,0.54,5,31,0
6,0,0.58,0.0,10,0.78,5963.57,49.39,21774.25,808,0.68,0.31,1.1,0.92,4,6,2
4,0,0.9,0.79,6,0.96,485.36,70.99,37243.4,4720,0.78,0.34,1.47,0.09,4,39,1
0,0,0.51,0.75,8,0.37,4114.82,84.53,73086.78,1316,0.02,0.18,0.13,0.92,5,39,1
4,0,0.42,0.37,8,0.34,7185.37,29.93,51956.94,1493,0.23,0.52,4.43,0.24,2,48,1
7,0,0.13,0.56,7,0.82,6844.68,66.66,93898.85,4475,0.49,0.07,4.71,0.44,2,58,1
1,1,0.5,0.95,9,0.66,8508.12,62.37,85028.1,1261,0.88,0.35,4.72,0.5,2,70,2
5,1,0.55,0.88,10,0.26,8207.11,16.96,20889.53,4404,0.9,0.61,0.82,0.71,1,21,2
2,0,0.25,0.18,4,0.2,438.44,0.46,82273.46,1901,0.48,0.56,3.03,0.88,1,1,2
5,0,0.35,0.15,7,0.02,2832.48,82.64,3306.72,2179,0.48,0.4,2.4,0.63,5,99,1
7,1,0.3,0.18,5,0.64,4712.23,90.79,7743.06,4824,0.43,0.63,1.65,0.32,2,48,2
2,1,0.29,0.81,9,0.67,6344.39,93.14,41592.95,2408,0.5,0.35,2.84,0.15,5,16,0
4,1,0.69,0.56,9,0.57,3415.99,26.61,36196.64,778,0.29,0.11,4.67,0.58,1,6,0
4,0,0.98,0.46,5,0.84,8185.17,44.78,91394.08,4707,0.63,0.95,1.36,0.11,5,4,2
9,0,0.59,0.42,6,0.73,1815.39,43.72,54291.22,2577,0.88,0.98,3.33,0.04,2,58,0
9,0,0.63,0.42,4,0.66,8716.0,48.64,65274.47,4484,0.99,0.86,1.38,0.45,5,2,0
2,1,0.57,0.41,7,0.6,8841.7,94.27,86787.25,1825,0.95,0.97,4.99,0.55,4,7,0
5,0,0.88,0.93,7,0.74,8509.15,10.61,52712.81,4185,0.49,0.47,3.45,0.25,3,28,0
2,0,0.38,0.54,6,0.85,6097.96,80.09,14442.14,3383,0.3,0.64,0.33,0.43,4,72,2
1,1,0.69,0.94,7,0.55,2441.22,87.05,18090.86,407,0.22,0.44,1.35,0.83,2,9,0
9,1,0.46,1.0,9,0.59,6624.46,23.13,47602.56,1885,0.41,0.74,4.39,0.05,5,29,0
5,0,0.94,0.75,6,0.11,9885.06,92.96,83100.4,2141,0.38,0.39,4.94,0.63,2,25,1
8,0,0.98,0.47,9,0.76,8070.81,56.76,56392.58,2190,0.7,0.19,3.4,0.91,4,55,1
8,1,0.01,0.63,7,0.9,3860.08,93.91,61449.39,4531,0.07,0.17,3.85,0.21,1,80,0
6,0,0.89,0.58,6,0.78,3003.69,14.85,9614.44,698,0.56,0.71,3.84,0.68,5,48,1
4,1,0.12,0.33,9,0.88,4979.01,92.34,6083.8,140,0.08,0.16,0.8,0.61,5,75,0
8,1,0.45,0.8,7,0.65,1928.23,13.65,83733.46,3566,0.62,0.05,4.54,0.75,2,54,1
3,0,0.93,0.33,7,0.93,2600.99,48.84,48096.76,1562,0.9,0.49,3.43,0.3,1,16,0
8,0,0.51,0.36,5,0.14,5547.32,94.6,32070.96,4200,0.06,0.51,1.03,0.34,4,47,0
7,0,0.94,0.4,9,0.22,8832.59,3.45,83832.84,2456,0.12,0.2,4.96,0.52,5,43,0
9,1,0.87,0.41,8,0.07,4290.75,11.03,54370.81,1722,0.66,0.16,1.0,0.21,3,57,1
3,1,0.76,0.8,9,0.68,1881.33,80.71,18718.37,1970,0.19,0.3,3.65,0.27,1,11,0
3,1,0.79,0.29,6,0.74,4464.09,35.58,11318.35,4076,0.51,0.07,3.5,0.2,5,33,2
5,0,0.65,0.19,9,0.95,7527.25,41.48,12800.87,2924,0.41,0.14,1.65,0.82,3,86,2
2,0,0.9,0.71,10,0.84,7686.03,97.4,96447.55,3650,0.43,0.05,1.04,0.11,5,4,2
1,1,0.71,0.19,9,0.38,787.12,33.34,99314.53,1877,0.17,0.94,2.5,0.03,1,40,0
5,1,0.9,0.11,8,0.27,1036.48,77.68,84890.46,3493,0.81,0.24,1.42,0.27,2,9,0
6,0,0.91,0.04,6,0.26,2185.83,98.59,72868.15,4146,0.95,0.82,4.27,0.2,1,29,2
3,1,0.21,0.3,7,0.68,4551.54,49.25,68682.38,2193,0.3,0.19,1.28,0.21,2,93,2
6,0,0.52,0.23,4,0.0,7434.86,54.41,52948.41,1350,0.32,0.18,0.92,0.03,3,2,1
4,0,0.76,0.03,4,0.29,2747.62,89.73,54565.8,259,0.14,0.28,1.26,0.11,5,13,1
2,0,0.7,0.41,8,0.02,3809.6,61.08,29696.37,1195,0.08,0.65,0.28,0.68,5,87,0
0,1,0.67,0.02,6,0.32,9418.75,3.48,52979.68,1220,0.62,0.7,2.27,0.29,2,77,1
3,0,0.03,0.54,10,0.05,5191.58,26.55,74404.41,3323,0.98,0.96,1.25,0.7,2,30,2
4,0,0.87,0.12,7,0.74,8289.66,59.9,5797.85,538,0.37,0.79,1.89,0.03,1,18,0
7,0,0.04,0.53,8,0.85,8104.7,4.33,9999.65,814,0.64,0.16,2.91,0.7,2,92,2
0,1,0.6,0.08,10,0.51,4225.31,89.77,83140.62,2432,0.08,0.7,1.14,0.28,1,66,2
9,0,0.47,0.79,4,0.46,5130.56,98.91,36235.04,3683,0.19,0.16,3.96,0.15,3,98,2
3,1,0.18,0.61,7,0.23,3187.89,41.52,37167.92,3007,0.59,0.75,3.78,0.45,4,10,2
1,1,0.96,0.22,7,0.25,7097.34,47.48,64262.69,1802,0.74,0.14,3.09,0.34,2,49,2
8,0,0.63,0.53,7,0.86,6633.75,31.87,62201.86,3285,0.44,0.74,4.34,0.48,2,7,2
1,0,0.5,0.68,6,0.32,7761.94,57.27,97081.73,234,0.83,0.06,3.16,0.91,3,77,0
6,1,0.72,0.91,10,0.78,9231.61,52.42,96997.27,712,0.31,0.19,3.44,0.54,5,38,0
8,1,0.0,0.66,8,0.18,7742.71,30.7,9271.34,2242,0.35,0.02,1.89,0.67,2,59,2
3,1,0.84,0.08,5,0.54,8853.12,36.45,38572.88,2592,0.35,0.75,1.48,0.93,5,31,2
9,0,0.79,0.86,7,0.17,4648.34,72.69,10247.91,1574,0.33,0.55,3.9,0.3,5,74,1
4,1,0.24,0.85,8,0.34,2427.11,61.26,55174.01,1070,0.82,0.91,4.73,0.77,4,11,2
0,0,0.86,0.38,9,0.94,4192.74,97.56,58898.21,1653,0.5,0.66,3.37,0.95,4,37,0
2,1,0.37,0.07,8,0.72,1074.41,88.95,4290.27,3335,0.62,0.56,4.62,0.53,3,80,0
9,0,0.38,0.58,7,0.82,6491.61,74.7,66949.58,1714,0.99,0.11,0.66,0.69,1,31,0
3,1,0.87,0.88,6,0.47,156.72,82.19,58873.9,4078,0.28,0.96,0.32,0.94,4,51,2
3,0,0.31,0.61,4,0.35,6934.95,24.73,14826.0,4070,0.45,0.24,0.04,0.98,1,33,2
8,1,0.4,0.73,8,0.53,3456.39,36.47,10231.05,4032,0.48,0.46,0.58,0.62,1,33,2
9,1,0.84,0.57,7,0.85,2886.66,78.87,8623.38,3680,0.12,0.12,2.25,0.41,4,44,1
4,1,0.76,0.87,6,0.34,455.86,23.95,87073.21,2164,0.97,0.38,2.38,0.73,3,42,2
1,0,0.91,0.08,4,0.96,3787.2,66.07,33230.56,1235,0.07,0.65,0.47,0.21,2,81,0
0,0,0.55,0.23,8,0.61,3999.43,59.28,13002.79,2437,0.5,0.28,1.61,0.03,5,52,0
8,1,0.39,0.52,8,0.48,3304.46,98.58,74606.85,4969,0.86,0.88,4.92,0.14,5,79,0
3,1,0.45,0.52,6,0.91,2451.57,55.42,57821.2,1502,0.93,0.2,2.38,0.05,3,60,1
7,0,0.17,0.99,6,0.37,3365.25,45.17,13717.9,192,0.07,0.46,2.09,0.95,5,80,2
1,0,0.94,0.84,7,0.19,1107.6,54.17,58368.28,3921,0.58,0.12,1.73,0.35,1,73,1
9,0,0.29,0.86,7,0.22,8698.34,33.5,57466.6,4350,0.69,0.7,0.51,0.95,4,3,2
1,0,0.7,0.89,8,0.54,2599.38,84.96,78230.57,1155,0.21,0.25,4.56,0.36,4,69,2
4,1,0.59,0.66,5,0.33,2570.4,51.82,95155.1,131,0.37,0.13,1.33,0.51,5,1,2
4,0,0.33,0.39,9,0.24,3565.58,76.66,75176.01,4216,0.37,0.93,2.42,0.78,2,89,1
1,0,0.64,0.1,8,0.01,9813.41,62.9,37129.15,3497,0.67,0.45,0.04,0.72,1,26,0
7,1,0.63,0.82,8,0.42,4727.76,89.44,9375.77,2716,0.53,0.76,1.01,0.09,5,77,2
8,1,0.79,0.33,8,0.47,4684.61,26.57,96355.29,4249,0.67,0.53,2.21,0.15,1,69,1
1,0,0.34,0.43,4,0.12,7674.1,72.08,90315.83,1032,0.13,0.72,4.29,0.14,2,72,2
9,1,0.75,0.69,6,0.75,8234.84,24.14,48997.86,604,0.17,0.93,2.1,0.95,5,70,0
9,0,0.24,0.5,5,0.76,5042.9,41.59,99139.67,4907,0.07,0.99,2.02,0.19,4,76,2
7,1,0.52,0.9,7,0.56,5618.88,45.28,24865.74,1985,0.94,0.92,2.53,0.19,2,79,2
2,1,0.7,0.16,8,0.08,4711.19,90.68,96554.51,2161,0.64,0.64,0.43,0.49,5,42,0
6,1,0.75,0.09,6,0.68,5804.25,7.21,46295.24,986,0.94,0.76,2.21,0.0,3,54,1
0,1,0.59,0.56,9,0.72,6392.78,29.16,47486.46,171,0.65,0.98,3.46,0.11,5,57,2
3,1,0.85,0.14,7,0.31,5498.52,63.2,71643.82,1752,0.13,0.94,4.82,0.94,2,53,2
0,0,0.09,0.29,9,0.27,5348.51,15.37,84243.06,1692,0.08,0.45,0.9,0.81,2,87,0
1,0,0.96,0.18,6,0.45,731.99,70.78,68772.78,2416,0.36,0.42,0.93,0.44,5,10,1
0,1,0.34,0.71,8,0.49,1982.9,64.56,8410.96,3985,0.26,0.02,2.65,0.68,3,57,2
0,0,0.97,0.02,8,0.84,2770.42,6.88,34570.48,1041,0.75,0.21,0.75,0.97,2,6,2
7,0,0.0,0.07,4,0.07,2197.31,42.42,66838.83,2198,0.48,0.31,4.71,0.57,3,0,0
5,0,0.8,0.09,7,0.71,5311.43,18.33,95376.23,3006,0.9,0.8,3.53,0.51,2,30,0
5,1,0.83,0.17,9,0.8,3122.75,78.88,80400.69,4335,0.09,0.03,3.64,0.41,2,68,1
8,0,0.28,0.44,8,0.27,9875.91,31.0,22623.34,1436,0.73,0.5,4.45,0.52,4,81,2
4,1,0.94,0.38,7,0.33,2720.74,70.32,77494.33,220,0.19,0.63,2.5,0.98,3,66,1
3,0,0.47,0.6,7,0.31,277.61,30.44,61038.49,3688,0.85,0.06,3.07,0.21,2,96,2
0,0,0.37,0.61,5,0.46,2598.47,27.3,15314.82,310,0.15,0.23,1.22,0.34,1,0,1
0,1,0.6,0.47,9,0.94,5284.54,15.31,94380.77,2773,0.85,0.31,2.26,0.62,5,4,0
5,1,0.64,0.16,8,0.55,5795.77,2.84,37976.44,305,0.17,0.37,0.39,0.78,5,70,2
8,0,0.58,0.28,8,0.92,4579.87,0.85,98177.56,28,0.53,0.05,0.62,0.07,2,12,1
4,1,0.77,0.01,10,0.03,7247.67,24.08,31528.19,3067,0.54,0.04,2.71,0.9,3,77,2
7,1,0.87,0.78,6,0.69,7578.53,58.63,59551.59,3925,0.87,0.2,2.44,0.93,1,0,1
0,1,0.26,0.04,6,0.7,2129.65,68.0,54132.1,4845,0.02,0.23,1.99,0.31,2,60,2
6,0,0.71,0.91,10,0.62,4306.28,20.87,66659.38,3480,0.66,0.55,3.23,0.53,4,65,2
6,1,0.46,0.76,10,0.25,6044.59,6.13,6259.43,511,0.45,0.23,3.34,0.57,5,28,2
5,1,0.04,1.0,6,0.25,5893.28,17.73,88749.85,3187,0.3,0.56,1.05,0.23,2,34,2
5,1,0.79,0.71,6,0.26,5599.84,52.98,86411.16,2639,0.04,0.54,3.39,0.71,3,69,1
4,0,0.94,0.24,5,0.4,6616.42,99.39,84891.4,4091,0.11,0.23,3.98,0.32,5,52,1
1,0,0.12,0.52,5,0.88,1372.31,47.52,77490.55,1485,0.07,0.89,1.85,0.44,3,42,1
1,1,0.73,0.6,4,0.86,6872.22,44.56,40234.32,3958,0.35,0.75,1.0,0.71,5,66,2
1,1,0.54,0.59,8,0.64,3497.74,77.86,32203.25,55,0.21,0.61,1.63,0.07,1,21,0
4,0,0.4,0.89,6,0.82,3807.01,3.31,90426.58,3931,0.22,0.94,0.77,0.48,3,31,1
3,1,0.62,0.02,4,0.2,6973.51,94.74,79580.65,4853,0.3,0.69,2.18,0.79,1,90,2
9,0,0.2,0.25,4,0.74,8625.37,93.85,60266.18,1223,0.42,0.43,0.95,0.17,4,20,2
4,0,0.59,0.73,8,0.18,5459.39,96.27,20034.83,811,0.53,0.02,2.71,1.0,1,49,2
5,1,0.42,0.06,7,0.36,1923.63,31.12,49835.16,4172,0.69,0.3,1.99,0.27,1,38,2
4,1,0.36,0.85,5,0.14,2115.46,71.22,43655.49,2455,0.77,0.28,4.0,0.18,2,75,0
6,0,0.7,0.77,9,0.31,6245.44,83.45,45282.47,3655,0.94,0.04,3.54,0.16,1,48,1
5,1,0.53,0.11,9,0.35,2626.44,34.78,98572.63,519,0.8,0.68,4.36,0.39,4,6,0
2,1,0.32,0.75,9,0.52,6203.46,86.75,57318.24,1375,0.55,0.12,4.12,0.86,4,11,0
9,0,0.6,0.02,5,0.29,6625.73,60.87,41795.46,3029,0.89,0.39,1.61,0.48,5,28,1
2,1,0.94,0.97,7,0.64,5695.51,71.7,78328.27,1137,0.34,0.53,2.32,0.61,1,86,1
0,0,0.14,0.43,7,0.63,1371.8,51.38,73929.25,2035,0.06,0.58,2.28,0.76,3,37,2
5,1,0.3,0.5,7,0.51,2627.59,40.48,3177.15,713,0.31,0.54,0.88,0.52,5,46,0
6,1,0.81,0.61,9,0.71,8910.18,48.15,21226.14,906,0.34,0.0,1.31,0.9,1,5,2
9,1,0.79,0.3,4,0.33,1595.95,80.33,87888.16,2183,0.05,0.96,3.17,0.57,3,67,0
4,0,0.75,0.62,4,0.21,9741.54,48.65,37983.45,3683,0.4,0.66,4.45,0.27,3,59,1
9,0,0.0,0.64,7,0.02,8632.7,93.09,11003.81,4978,0.74,0.53,1.59,0.89,3,52,2
1,1,0.68,0.15,8,0.14,7371.16,39.0,48343.15,3012,0.7,0.01,0.88,0.07,5,11,1
5,0,0.29,0.89,9,0.89,2666.94,41.87,63105.91,3937,0.77,0.14,0.38,0.18,3,61,0
0,1,0.48,0.06,8,0.84,9739.67,68.57,3847.23,937,0.49,0.42,4.57,0.33,5,41,0
2,1,0.8,0.24,10,0.98,3709.91,52.65,29125.27,3380,0.02,0.76,4.45,0.74,3,27,0
9,0,0.09,0.64,9,0.93,5907.32,6.93,22550.06,1288,0.25,0.0,3.02,0.83,3,48,0
0,1,0.51,0.94,6,0.83,540.68,47.34,70743.25,902,0.81,0.82,1.86,0.68,2,95,0
3,1,0.11,0.94,7,0.72,2848.04,94.09,20684.06,1603,0.55,0.74,2.46,0.93,4,43,0
6,1,0.45,0.72,4,0.52,8091.41,16.08,860.7,148,0.13,0.9,2.29,0.55,5,20,0
5,1,0.55,0.49,6,0.04,1640.63,68.78,70757.52,3083,0.69,0.39,3.08,0.66,3,76,0
5,0,0.48,0.63,9,0.39,8119.98,0.55,25098.93,138,0.78,0.37,3.37,0.61,2,95,1
5,1,0.16,0.42,5,0.04,3883.62,83.4,93263.77,2160,0.78,0.37,0.17,0.05,4,70,1
2,0,0.6,0.66,4,0.83,256.48,88.66,48304.75,1885,0.49,0.88,3.58,0.94,5,31,1
4,1,0.54,0.32,5,0.62,6170.14,23.51,40747.75,1630,0.53,0.23,4.52,0.96,1,78,0
6,1,0.41,0.36,5,0.33,1334.74,20.11,95863.63,362,0.46,0.43,3.77,0.23,4,18,1
7,0,0.37,0.6,7,0.45,3767.16,53.13,61278.7,432,0.08,0.19,2.66,0.83,3,49,2
8,1,0.56,0.95,6,0.41,1665.13,51.03,98467.7,2675,0.51,0.7,2.94,0.19,2,3,1
0,1,0.65,0.65,10,0.67,3875.54,81.52,2443.09,2457,0.91,0.13,3.02,1.0,2,76,2
0,0,0.31,0.93,10,0.21,443.91,13.16,61426.73,4588,0.19,0.43,1.54,0.4,3,49,0
4,0,0.8,0.19,4,0.26,5759.04,19.26,98198.73,2708,0.68,0.57,0.77,0.28,5,11,1
6,0,0.34,0.61,9,0.67,158.16,66.26,23077.49,883,0.67,0.98,3.63,0.29,5,7,1
2,1,0.46,0.48,8,0.56,8474.95,9.5,49489.22,1730,0.1,0.37,3.51,0.83,3,43,2
7,1,0.74,0.98,7,0.74,9624.55,70.04,47138.32,3600,0.84,0.13,0.85,0.21,2,23,2
9,0,0.46,0.88,6,0.18,252.28,47.32,75580.66,4932,0.15,0.22,1.34,0.98,3,5,0
5,1,0.17,0.45,6,0.93,849.19,89.1,41906.67,4042,0.65,0.9,4.4,0.38,3,72,2
1,0,0.78,0.55,9,0.14,9039.03,29.05,90663.09,3711,0.32,0.87,4.46,0.79,4,33,1
3,1,0.1,0.15,10,0.79,468.6,20.02,16425.77,27,0.2,0.34,2.02,0.38,4,0,0
3,1,0.19,0.0,5,0.59,181.5,79.34,29168.75,3813,0.47,0.66,3.81,0.3,3,38,0
7,1,0.19,0.18,7,0.19,6723.48,11.85,81645.36,3507,0.96,0.18,4.55,0.68,4,35,0
2,1,0.73,0.39,5,0.41,271.99,23.4,64578.58,1607,0.19,0.81,0.34,0.95,2,78,1
7,0,0.53,0.61,9,0.91,2902.64,41.93,77893.21,776,0.05,0.29,0.34,0.78,1,28,0
5,0,0.9,0.18,7,0.99,1228.29,53.81,57325.19,1267,0.96,0.42,1.35,0.07,2,80,2
4,1,0.88,0.98,4,0.72,4470.48,85.51,83503.94,2567,0.98,0.41,1.96,0.48,2,15,2
3,0,0.29,0.37,4,0.81,3132.73,6.85,73531.64,2036,0.73,0.42,4.45,0.37,5,23,1
2,0,0.0,0.8,4,0.6,5652.87,77.61,64323.34,996,0.11,0.28,3.94,0.02,4,69,0
8,0,0.73,0.09,7,0.8,6992.7,68.37,71001.32,3687,0.73,0.36,3.52,0.63,4,16,1
8,0,0.26,0.13,7,0.39,1718.1,12.82,28764.37,3059,0.03,0.08,3.47,0.01,1,4,0
6,1,0.37,0.66,8,0.12,9801.69,18.16,52548.96,3893,0.79,0.4,0.6,0.98,5,78,2
8,0,0.21,0.79,4,0.3,8613.67,28.32,64541.92,166,0.56,0.04,2.57,0.63,4,97,1
3,1,0.32,0.83,6,0.14,2135.62,49.58,98483.49,624,0.9,0.91,3.75,0.8,5,56,0
9,0,0.22,0.56,7,0.23,4706.55,76.17,58762.92,2689,0.7,0.25,1.83,0.87,2,82,1
6,0,0.6,0.53,8,0.5,1815.45,31.13,83673.84,4725,0.32,0.6,1.56,0.42,5,70,1
3,0,0.08,0.59,9,0.31,9851.8,6.14,84604.67,3920,0.24,0.41,0.67,0.17,2,78,2
8,0,0.4,0.68,5,0.92,1065.77,92.85,38847.94,220,0.69,0.84,3.47,0.55,4,21,0
1,1,0.27,0.75,5,0.11,8567.63,97.6,76659.14,2764,0.83,0.12,0.53,0.05,3,77,0
8,1,0.99,0.66,8,0.69,2187.95,27.98,80155.61,2622,0.49,0.73,3.03,0.65,2,34,0
2,0,0.64,0.94,7,0.46,7429.41,31.38,96719.43,1023,0.9,0.96,3.26,0.9,4,1,1
7,0,0.81,0.96,4,0.11,6388.04,12.51,21760.32,4185,0.29,0.05,2.96,0.89,3,30,0
0,1,0.19,0.57,9,0.89,4208.36,25.5,21842.89,4410,0.92,0.27,3.94,0.89,1,58,2
3,1,0.6,0.4,6,0.47,3696.51,45.07,42351.29,3849,0.16,0.61,3.92,0.66,2,90,2
5,1,0.46,0.41,8,0.1,9492.55,30.06,42228.09,1562,0.82,0.03,2.35,0.8,5,83,2
9,1,0.48,0.99,10,0.82,9570.66,33.34,13987.17,3645,0.81,0.97,2.99,0.51,5,36,1
7,0,0.31,0.95,9,0.01,1286.71,71.48,28120.03,1080,0.27,0.46,4.7,0.35,2,78,1
8,1,0.95,0.34,6,0.18,5665.23,27.37,67853.85,409,0.82,0.81,4.55,0.36,2,14,0
8,0,0.77,0.25,4,0.58,2787.19,42.09,53850.74,1729,0.47,0.52,1.73,0.67,1,55,1
6,0,0.58,0.05,4,0.89,9166.37,80.1,37575.64,1974,0.67,0.05,0.77,0.74,3,53,2
9,1,0.82,0.27,5,0.37,8767.29,67.53,8269.76,405,0.26,0.75,2.32,0.79,3,40,0
7,0,0.65,0.57,9,0.41,8225.73,71.4,27642.31,4985,0.8,0.37,3.06,0.27,4,66,1
3,1,0.91,0.27,6,0.98,9888.7,25.29,14550.28,2150,0.07,0.29,1.04,0.16,4,29,1
8,1,1.0,0.0,10,0.24,7835.27,39.68,30532.81,3862,0.69,0.69,1.76,0.45,5,22,2
6,1,0.84,0.49,7,0.57,8608.51,53.56,60896.33,818,0.51,0.18,2.97,0.13,1,96,1
8,0,0.55,0.54,9,0.1,2958.11,46.05,84588.63,1851,0.03,0.77,3.38,0.56,3,86,2
9,1,0.11,0.34,8,0.75,7479.04,44.79,35372.75,171,0.82,0.7,4.13,0.71,2,62,2
6,1,0.33,0.78,4,0.92,5329.04,18.64,24364.15,1705,0.72,0.51,1.87,0.41,4,75,2
2,0,0.8,0.88,9,0.27,8390.84,63.37,31497.23,3715,0.59,0.47,3.4,0.0,4,66,1
3,1,0.22,0.21,10,0.65,8008.43,81.64,25415.34,2429,0.03,0.54,3.13,0.95,3,79,1
9,0,0.15,0.83,10,0.9,8990.0,22.16,26729.94,692,0.29,0.36,0.23,0.52,3,33,0
3,0,0.76,0.34,8,0.81,4001.48,35.45,37179.51,777,0.39,0.84,0.36,0.82,4,85,2
0,0,0.07,0.11,6,0.87,1074.82,58.82,93777.56,1431,0.87,0.95,1.55,0.03,4,34,1
8,0,0.79,0.18,5,0.02,262.29,86.44,51134.26,3926,0.71,0.8,1.83,0.86,4,30,1
1,0,0.27,0.77,10,0.15,8153.39,20.41,75728.22,157,0.42,0.65,1.9,0.38,1,85,1
0,0,0.39,0.08,7,0.63,9380.45,47.64,12778.88,4499,0.91,0.68,1.42,0.45,2,35,1
8,1,0.59,0.3,8,0.33,342.12,53.39,64828.71,1162,0.45,0.76,0.72,0.9,2,4,1
3,0,0.94,0.49,6,0.51,8338.97,0.82,53229.4,3301,0.87,0.66,2.3,0.28,1,74,2
8,0,0.36,0.89,9,0.37,9928.34,63.12,91522.78,4075,0.32,0.52,3.86,0.07,5,62,0
6,1,0.1,0.27,9,0.29,5157.96,20.95,96250.31,1394,0.64,0.3,0.76,0.86,2,74,1
7,1,0.2,0.5,10,0.29,1544.04,92.83,98619.46,4896,0.66,0.71,4.4,0.91,2,3,0
4,1,0.21,0.26,10,0.11,5.57,74.93,67824.68,1720,0.35,0.06,0.66,0.12,1,15,1
4,0,0.36,0.75,10,0.99,2377.62,77.09,19272.1,4420,0.5,0.55,1.74,0.09,1,98,0
8,0,0.02,0.09,7,0.28,7444.88,79.45,58026.09,3223,0.83,0.8,4.9,0.21,5,32,2
9,1,0.73,0.85,5,0.74,220.86,23.73,46952.35,2725,0.45,0.61,3.74,0.37,2,1,0
5,0,0.74,0.85,8,0.92,5632.52,13.95,15903.13,3233,0.89,0.95,1.17,0.76,4,0,2
1,0,0.34,0.37,7,0.3,1686.8,80.18,94484.14,3318,0.41,0.78,3.34,0.36,1,71,1
